,Messages,Time Stamp,Spam
0,Step out of your comfort zone to realize significant gains.... To know more bnfs.at/89Ic,10-02-2022 19.52,
1,"Nadaq futures down 1.5 % .... U.S. inflation accelerated to a 7.5% annual rate in January, rising to a new four-decade high today - My target for HCL Tech is Rs 1170 for the intraday with a stoploss of Rs 1195",10-02-2022 19.22,
2,when i suggested -( buy hcl tech. at .... good return will come... easily reach..1200... ) now almost reach........,10-02-2022 16.06,
3,hcl tech buy 1186 it will fire now till 1205,10-02-2022 14.51,
4,After crossing Rs.1270 HCL Tech will head to Rs.1377 from where it corrected due to panic selling. Buy HCL Tech for a target of Rs.1500 - Rs.1700.,10-02-2022 14.31,
5,HCL Tech is at very attractive valuations compared to large cap IT stocks like TCS and Infosys and even at Rs.1700 HCL Tech will be attractive so buy HCL Tech for a target of Rs.1700.,10-02-2022 14.14,
6,"25,00,00,000 Crore qty number of shares Twenty five Crore qty number of shares Our Group want to Buy in HCL Tech from 1500 to 1800 Today or tomorrow in HCL Tech Limited.",10-02-2022 14.13,
7,buy hcl tech 1179 any time it will fire above 1205 1230 buy buy buy,10-02-2022 12.19,
8,HCLTECH SHOWING GOOD STRENGTH FOR GOOD RETURN KEEP TGT AROUND 1195 - 1210 - 1230 SL - 1150,10-02-2022 10.39,
9,HCLTECH SHOWING GOOD STRENGTH FOR GOOD RETURN KEEP TGT AROUND 1195 - 1210 - 1230 SL - 1150,10-02-2022 10.38,
10,buy hcl tech today 1176 target 1205,10-02-2022 9.40,
11,Sell HCL Tech with target of 1166 & Stop loss at 1188...visit goyaltips,10-02-2022 9.32,
12,buy hcl tech 1181 target 1298 1440 1600 1800 so buy buy all door r open to go up,10-02-2022 6.54,
13,Buy this stock.. which is really amazing and it will go more 1800/- by March 1st week  buy in lot,10-02-2022 1.30,
14,HCL TECH GOOD SHORT COVERING KEEP HOLD AND LONG TURM,09-02-2022 22.56,
15,"Dow index and Nasdaq, both are up. Sgx is also up. Tomorrow HCLTECH cross 1200, second hurdle, fir next unmoved for 1360/.",09-02-2022 20.45,
16,Good stock available at reasonable valuations,09-02-2022 19.40,
