,Messages,Time Stamp,Spam
0,NO ISSUE IN MANAGEMENT THEY ARE FOCUSED ON BUSINESS NOT SHARE PRICES. LOT OF ACQUISITION HAS MADE IN PAST FOR GROWTH. MARKET IS GIVING OPPORTUNITY TO ACCUMULATE ITC SO ONLY ACCUMULATE IN TRUE SENSE. SHARE PRICE WOULD FOLLOW THE EARNINGS. I ...&nbsp,10-02-2022 19.23,
1,Adani Wilmar up 72% in just 3 sessions from listing day. ITC is standing rock solid. This is called as strength! Hum Honge Kamayaab... Ek Din... Hum Honge Kamyaab Ek Din!,10-02-2022 16.12,
2,"Sure, one day this company will be taken over by Adani, Ambani, TATA, or Birla and useless mindless incompetent Sanjeev Puri will be kicked out ,and all Bonus, allowances salary will be recovered from him",10-02-2022 17.53,
3,Timeless financial quotes give investors a better perspective on the future by conveying wisdom from the past..... To know more bnfs.at/89Ic,10-02-2022 19.43,
4,"Positive Rally in Nifty, No Rally in ITC and Negative Rally in Nifty, the more negative Rally in ITC..",10-02-2022 19.28,
5,Fundamentally strong stock add at every dips for long term for more... Queen of future,10-02-2022 17.27,
6,M Ambani Or G Adani should buy controlling stake in ITC with their pocket change and replace Puri with their professional as CMD... till then there is little hope.,10-02-2022 17.16,
7,Strong Long Term Fundamental Strength with an average Return on Equity (ROE) of 23.64%ITC,10-02-2022 15.59,
8,after results today some kind up sides movement seen today... set tgt 240-245,10-02-2022 15.43,
9,do not misguide people in this common forum even after robust and spectacular Q3 results it is not even crossed 235 see management enjoying our retail investors hard earn money since last 10 years qtr on qtr they are just coming with sugar ...&nbsp,10-02-2022 15.42,
10,I wish to buy ITC tomorrow. May I eligible for dividend?,10-02-2022 15.39,
11,"If Ambani agrees to buy a controlling stake,this would trade at 400 in a session.So nothing is impossible in stock market. Just our time should be good called luck.",10-02-2022 15.28,
12,he is in fantasy land with his salary and other colleagues enjoying in selling esop..these snails are enjoying highend paclages from company.,10-02-2022 15.26,
13,Timeless financial quotes give investors a better perspective on the future by conveying wisdom from the past..... To know more bnfs.at/89Ic,10-02-2022 19.43,
14,"Positive Rally in Nifty, No Rally in ITC and Negative Rally in Nifty, the more negative Rally in ITC..",10-02-2022 19.28,
15,Fundamentally strong stock add at every dips for long term for more... Queen of future,10-02-2022 17.27,
16,M Ambani Or G Adani should buy controlling stake in ITC with their pocket change and replace Puri with their professional as CMD... till then there is little hope.,10-02-2022 17.16,
17,Strong Long Term Fundamental Strength with an average Return on Equity (ROE) of 23.64%ITC,10-02-2022 15.59,
18,after results today some kind up sides movement seen today... set tgt 240-245,10-02-2022 15.43,
19,do not misguide people in this common forum even after robust and spectacular Q3 results it is not even crossed 235 see management enjoying our retail investors hard earn money since last 10 years qtr on qtr they are just coming with sugar ...&nbsp,10-02-2022 15.42,
20,I wish to buy ITC tomorrow. May I eligible for dividend?,10-02-2022 15.39,
21,"If Ambani agrees to buy a controlling stake,this would trade at 400 in a session.So nothing is impossible in stock market. Just our time should be good called luck.",10-02-2022 15.28,
22,he is in fantasy land with his salary and other colleagues enjoying in selling esop..these snails are enjoying highend paclages from company.,10-02-2022 15.26,
