,Messages,Time Stamp,Spam
0,Investing money is the process of committing resources in a strategic way to accomplish a specific objective..... To know more bnfs.at/89Ic,10-02-2022 20.18,1
1,Be fearful when others are greedy. Be greedy when others are fearful..... To know more bnfs.at/89Ic,10-02-2022 20.18,1
2,Best time for investment in pharma more detls. DONT MISS THIS TIME.. Queen of future,10-02-2022 20.07,1
3,today Maruti reached 52 weak high but sgx nifty 140 point negative so wait tomorrow around 200 point down then buy at 8580 to 8620 tgt 8780 sl 8550 for tomorrow intra day call,10-02-2022 20.06,0
4,Fundamentally strong stock add at every dips for long term for more... Queen of future,10-02-2022 19.56,0
5,if yu put money in loss making company do not expect yourself to make profits.. bnfs.at/89dc,10-02-2022 19.36,0
6,This stock may give u 2x 3x returns this year for sure ..very bullish on techincal chart For any help orTips.... To knw Queen of future,10-02-2022 18.41,0
7,8860-8070 Maximum upside again huge selling expected to resume which may drag towards 8550/8450*** so avoid buying ****,10-02-2022 18.28,0
8,"when you buy with news, you will die with news... remember ..",10-02-2022 17.46,1
9,Best time for investment in pharma more detls. DONT MISS THIS TIME.. Queen of future,10-02-2022 17.44,1
10,Sell Maruti at CMP will touch 8000 before expiry.,10-02-2022 16.43,0
11,is this move up tomorrow or book losses experts please advise..,10-02-2022 15.51,0
12,heavy loss today in this counter any chances to cover or shall book loss,10-02-2022 15.48,0
13,I had told you all it is total manipulation...sell this shit it will touch 7000 shortly,10-02-2022 15.30,0
14,Fundamentally strong stock add at every dips for long term for more... Queen of future,10-02-2022 19.56,0
15,if yu put money in loss making company do not expect yourself to make profits.. bnfs.at/89dc,10-02-2022 19.36,0
16,This stock may give u 2x 3x returns this year for sure ..very bullish on techincal chart For any help orTips.... To knw Queen of future,10-02-2022 18.41,0
17,8860-8070 Maximum upside again huge selling expected to resume which may drag towards 8550/8450*** so avoid buying ****,10-02-2022 18.28,0
18,"when you buy with news, you will die with news... remember ..",10-02-2022 17.46,0
19,Best time for investment in pharma more detls. DONT MISS THIS TIME.. Queen of future,10-02-2022 17.44,1
20,Sell Maruti at CMP will touch 8000 before expiry.,10-02-2022 16.43,0
21,is this move up tomorrow or book losses experts please advise..,10-02-2022 15.51,0
22,heavy loss today in this counter any chances to cover or shall book loss,10-02-2022 15.48,0
23,I had told you all it is total manipulation...sell this shit it will touch 7000 shortly,10-02-2022 15.30,0
24,Fundamentally strong stock add at every dips for long term for more... Queen of future,10-02-2022 19.56,0
25,if yu put money in loss making company do not expect yourself to make profits.. bnfs.at/89dc,10-02-2022 19.36,0
26,This stock may give u 2x 3x returns this year for sure ..very bullish on techincal chart For any help orTips.... To knw Queen of future,10-02-2022 18.41,0
27,8860-8070 Maximum upside again huge selling expected to resume which may drag towards 8550/8450*** so avoid buying ****,10-02-2022 18.28,0
28,"when you buy with news, you will die with news... remember ..",10-02-2022 17.46,1
29,Best time for investment in pharma more detls. DONT MISS THIS TIME.. Queen of future,10-02-2022 17.44,1
30,Sell Maruti at CMP will touch 8000 before expiry.,10-02-2022 16.43,0
31,is this move up tomorrow or book losses experts please advise..,10-02-2022 15.51,0
32,heavy loss today in this counter any chances to cover or shall book loss,10-02-2022 15.48,0
33,I had told you all it is total manipulation...sell this shit it will touch 7000 shortly,10-02-2022 15.30,0
34,Fundamentally strong stock add at every dips for long term for more... Queen of future,10-02-2022 19.56,0
35,if yu put money in loss making company do not expect yourself to make profits.. bnfs.at/89dc,10-02-2022 19.36,0
36,This stock may give u 2x 3x returns this year for sure ..very bullish on techincal chart For any help orTips.... To knw Queen of future,10-02-2022 18.41,0
37,8860-8070 Maximum upside again huge selling expected to resume which may drag towards 8550/8450*** so avoid buying ****,10-02-2022 18.28,0
38,"when you buy with news, you will die with news... remember ..",10-02-2022 17.46,1
39,Best time for investment in pharma more detls. DONT MISS THIS TIME.. Queen of future,10-02-2022 17.44,1
40,Sell Maruti at CMP will touch 8000 before expiry.,10-02-2022 16.43,0
41,is this move up tomorrow or book losses experts please advise..,10-02-2022 15.51,0
42,heavy loss today in this counter any chances to cover or shall book loss,10-02-2022 15.48,0
43,I had told you all it is total manipulation...sell this shit it will touch 7000 shortly,10-02-2022 15.30,0
44,markets just at the right mood for new positions on long side ..,10-02-2022 7.44,0
45,Again once strength seen on Maruti and Biocon. So take a sure shot buy at opening Maruti target 9050 and Biocon target 415. Show,10-02-2022 5.58,0
46,"Nifty auto will emerge as big bull, write on walls maruti is new hero ready to break all highs",09-02-2022 23.23,0
47,MARUTI SUZUKI ONE OF THE BEST STOCK GOOD SHORT COVERING STRONG LEVELS KEEP BUYING AT DIPS AND HOLD FOR LONG TURM,09-02-2022 23.01,0
48,guys here lots of fake advisors are giving the fake news.dont believe them and ignore them much as possible,09-02-2022 22.52,1
49,Since 2012 www AmiCharts com 1st time introduced simple technical charts with buy sell signals for Indian stock market. Now they are sending calls on Channel also.,09-02-2022 21.22,1
50,Since 2012 www IntradayAFL com 1st time introduced simple technical charts with buy sell signals for Indian stock market. Now they are sending calls on Channel also.,09-02-2022 20.55,1
51,there is one inside news that maruti suzuki board announcement regarding splits of stock on 12 feb......cheers to investors .....,09-02-2022 19.49,0
52,Stock investigate before invest and get with this stock you are on right path..keep stay with it,09-02-2022 18.50,0
53,Ready for next week with previous holding its ready for break again with more profit....,09-02-2022 18.32,0
54,"PEOPLE WHO ARE SELLING AT HIGH ULTIMATELY THY ARE HELPING THE PRICE TO GO MORE HIGH  , THIS PEOPLE WONT UNDERSTAND THE DELIEMMA, 9300 IS INCOMING TARGET IN 2 SAYS OR MAY BE TOMORROW.",09-02-2022 13.47,0
55,BOOK PROFIT IN MARUTHI AS THE STOCK HIT VERY HIGH,09-02-2022 13.29,0
56,sell Maruti at 8902 sl 9000 target 8700,09-02-2022 13.29,0
57,"Some Unauthorized News is coming from another forums, check now..",09-02-2022 13.25,0
