Messages,Sentiment
"RELIANCE Accumulate With Every DIPS, Rs.2400 Short Term Target",1
FUNDAMENTALY STORNG STOCK RELIANCE BUY THIS STOCK AT 2335 FOR 2-3 WEEK TARGET 2552 AND MORE........,
Telle grm Profit_Junction: Biocon is little bullish as per indicators in daily chart. Buy only above the next resistance 380 for 400 tgt in 1 week. I give freee intrdy sugggestions in my Tellee grm Profit_Junction,
"Selling started in global market, Nasdaq down 1.4%",
Us market green ..Monday reliance will boom ..,
buy ril near 2340-2370..... stop loss 2260..... good return will come.,
Buy reliance for a tgt of 2420.. on monday reliance will cross 2380...Buy...,
why not bsnl  tell me this is very husky question..Reliance have excess money to acquire any sector by the way google not invest they take a shate poaition of 1.38 percent ok,
How google can invest in airtel... Google also been invested in reliance? It should be conflict?.. Put some light if know,
neha mam what is your opinion on reliance now shush buy or sell ?,
Accumulation is going on . Depending on how many shares will be accumulated the time may vary from a week to months from the time of declaration of results. After accumulation sky is the limit for the share price. Mukesh Ambani is not going...&nbsp,
trip will zoom on Monday some good news may expected for investors,
RIL will go up.....only when MDA wants....till then its a waiting game,
"Selling started in global market, Nasdaq down 1.4%",
Us market green ..Monday reliance will boom ..,
buy ril near 2340-2370..... stop loss 2260..... good return will come.,
Buy reliance for a tgt of 2420.. on monday reliance will cross 2380...Buy...,
why not bsnl  tell me this is very husky question..Reliance have excess money to acquire any sector by the way google not invest they take a shate poaition of 1.38 percent ok,
How google can invest in airtel... Google also been invested in reliance? It should be conflict?.. Put some light if know,
neha mam what is your opinion on reliance now shush buy or sell ?,
Accumulation is going on . Depending on how many shares will be accumulated the time may vary from a week to months from the time of declaration of results. After accumulation sky is the limit for the share price. Mukesh Ambani is not going...&nbsp,
trip will zoom on Monday some good news may expected for investors,
RIL will go up.....only when MDA wants....till then its a waiting game,
"Selling started in global market, Nasdaq down 1.4%",
Us market green ..Monday reliance will boom ..,
buy ril near 2340-2370..... stop loss 2260..... good return will come.,
Buy reliance for a tgt of 2420.. on monday reliance will cross 2380...Buy...,
why not bsnl  tell me this is very husky question..Reliance have excess money to acquire any sector by the way google not invest they take a shate poaition of 1.38 percent ok,
How google can invest in airtel... Google also been invested in reliance? It should be conflict?.. Put some light if know,
neha mam what is your opinion on reliance now shush buy or sell ?,
Accumulation is going on . Depending on how many shares will be accumulated the time may vary from a week to months from the time of declaration of results. After accumulation sky is the limit for the share price. Mukesh Ambani is not going...&nbsp,
trip will zoom on Monday some good news may expected for investors,
RIL will go up.....only when MDA wants....till then its a waiting game,
"Selling started in global market, Nasdaq down 1.4%",
Us market green ..Monday reliance will boom ..,
buy ril near 2340-2370..... stop loss 2260..... good return will come.,
Buy reliance for a tgt of 2420.. on monday reliance will cross 2380...Buy...,
why not bsnl  tell me this is very husky question..Reliance have excess money to acquire any sector by the way google not invest they take a shate poaition of 1.38 percent ok,
